2017-03-07 10:58:52,216 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@4781bccf{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-03-07 10:58:52,236 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1dec8043{/help,null,UNAVAILABLE}
2017-03-07 18:27:49,720 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @389650ms
2017-03-07 18:27:49,817 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-03-07 18:27:49,856 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@2668f951{/help,null,AVAILABLE}
2017-03-07 18:27:49,872 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@6d5f1bc{HTTP/1.1}{127.0.0.1:26898}
2017-03-07 18:27:49,872 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @389804ms
2017-03-07 18:28:21,678 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-03-08 01:32:05,793 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@6d5f1bc{HTTP/1.1}{127.0.0.1:0}
2017-03-08 01:32:05,800 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@2668f951{/help,null,UNAVAILABLE}
2017-04-04 09:31:46,675 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-04-04 10:31:32,326 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @3607155ms
2017-04-04 10:31:33,611 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-04-04 10:31:33,643 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1f0efe34{/help,null,AVAILABLE}
2017-04-04 10:31:33,656 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@1777c162{HTTP/1.1,[http/1.1]}{127.0.0.1:49468}
2017-04-04 10:31:33,656 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @3608485ms
2017-04-04 10:51:54,602 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@1777c162{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-04-04 10:51:54,618 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1f0efe34{/help,null,UNAVAILABLE}
2017-04-24 16:26:17,567 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-04-24 21:39:53,192 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-04-26 13:04:23,594 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-05-01 15:20:19,015 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-05-02 02:46:26,757 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-05-02 03:11:16,416 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-05-02 10:56:53,106 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-05-02 16:26:25,470 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-05-03 00:54:30,591 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-05-04 16:08:55,612 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-05-04 20:47:54,820 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-05-04 20:53:21,447 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
